clip_id,condition,mode,is_positive,approach,reference,hypothesis,cer,wer,similarity,exact,success,sampled_frames,processing_seconds_full_pipeline,video_duration_seconds
h1_static_clean,clean,static,True,frame_baseline,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.87649,4.0
h1_static_clean,clean,static,True,preprocess_ensemble,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.87649,4.0
h1_static_clean,clean,static,True,temporal_consensus,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.87649,4.0
h1_static_low_contrast,low_contrast,static,True,frame_baseline,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.402022,4.0
h1_static_low_contrast,low_contrast,static,True,preprocess_ensemble,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.402022,4.0
h1_static_low_contrast,low_contrast,static,True,temporal_consensus,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.402022,4.0
h1_static_gaussian_noise,gaussian_noise,static,True,frame_baseline,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.446448,4.0
h1_static_gaussian_noise,gaussian_noise,static,True,preprocess_ensemble,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.446448,4.0
h1_static_gaussian_noise,gaussian_noise,static,True,temporal_consensus,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL APPROVES NEW TRANSIT PLAN,0.0,0.0,1.0,True,True,8,0.446448,4.0
h1_static_blur_compression,blur_compression,static,True,frame_baseline,CITY COUNCIL APPROVES NEW TRANSIT PLAN,CITY COUNCIL PPROVES NEW TRANSIT PLAN,0.026316,0.166667,0.973684,False,True,8,0.399137,4.0
